,Date,Classification
334,2014-12-01,1
335,2014-12-02,1
336,2014-12-03,1
337,2014-12-04,1
338,2014-12-05,1
339,2014-12-06,1
340,2014-12-07,1
341,2014-12-08,0
342,2014-12-09,1
343,2014-12-10,0
344,2014-12-11,0
345,2014-12-12,1
346,2014-12-13,1
347,2014-12-14,1
348,2014-12-15,1
349,2014-12-16,1
350,2014-12-17,1
351,2014-12-18,1
352,2014-12-19,1
353,2014-12-20,0
354,2014-12-21,1
355,2014-12-22,1
356,2014-12-23,1
357,2014-12-24,1
358,2014-12-25,1
359,2014-12-26,1
360,2014-12-27,1
361,2014-12-28,1
362,2014-12-29,1
363,2014-12-30,0
364,2014-12-31,0
